id,name,club_type,slug,map_image_url,distance_away,distance_away_string,address_1,address_2,city,state,zip,country_code,phone,email,status,status_code,latitude,longitude,published_time,time_zone,front_desk_email,executive_email,reporting_id,online_reservations,ideawork_id,mms_id,mms_api,mms_instance,late_cancel_fee_amount,preferred_locale,facebook_url,facebook_handle,instagram_url,instagram_handle,twitter_url,twitter_handle,no_show_late_cancel_fees,fee_configuration,crunch_o_meter,apple_watch_connected,occupancy_status,ownership_group_id,ownership_group_name
696,Albuquerque Atrisco,base_club,abq-atrisco,https://d3gwr21bcravq3.cloudfront.net/store/club/map-eb464db89e1ad718fe49-original.png,5802,5802 miles away,4208A Central Ave SW,,Albuquerque,NM,87105,US,505.658.8160,manager@crunchabqatrisco.com,coming_soon_(vfp_sales),7,35.084341,-35.084341,2025-05-02T15:57:01Z,Mountain Time (US & Canada),,,20386,True,,20386,abc,moso_corporate,0,en,https://www.facebook.com/CrunchAlbuquerqueAtrisco,@CrunchAlbuquerqueAtrisco,https://www.instagram.com/CrunchABQAtrisco,@CrunchABQAtrisco,,,False,b,True,False,unknown,25,Undefeated Tribe Operating Company LLC (Tony Hartl)
526,Burlington,base_club,burlington,https://d3gwr21bcravq3.cloudfront.net/store/club/map-22e42997f47d8f8040d4-original.png,6647,6647 miles away,937 Shelburne Road,,South Burlington,VT,05403,US,802.735.0064,manager@crunchburlington.com,open,2,44.44276,-73.20987,2023-01-26T19:33:25Z,Eastern Time (US & Canada),Manager@crunchburlington.com,,20124,True,,20124,abc,moso_corporate,0,en,https://www.facebook.com/crunchburlington,@CrunchBurlington,https://www.instagram.com/crunchburlington,@CrunchBurlington,https://www.twitter.com/crunchgym,@CrunchGym,False,a,False,False,unknown,10,Fitness Holdings
530,Haverhill,base_club,haverhill,https://d3gwr21bcravq3.cloudfront.net/store/club/map-5644f8584ca5b69c712f-original.png,6697,6697 miles away,3 Ferry St,,Haverhill,MA,01835,US,978.241.6305,manager@crunchhaverhill.com,open,2,42.7706,-71.07507,2023-01-26T20:31:58Z,Eastern Time (US & Canada),manager@crunchhaverhill.com,,20127,True,,20127,abc,moso_corporate,0,en,https://www.facebook.com/crunchhaverhill,@CrunchHaverhill,https://www.instagram.com/crunchhaverhill,@CrunchHaverhill,https://www.twitter.com/crunchgym,@CrunchGym,False,a,False,False,unknown,10,Fitness Holdings
531,Danvers,base_club,danvers,https://d3gwr21bcravq3.cloudfront.net/store/club/map-4ade7120379b8e1dc50c-original.png,6706,6706 miles away,301 Newbury Street,,Danvers,MA,01923,US,978.624.4910,manager@crunchdanvers.com,open,2,42.584759,-70.964691,2023-02-02T20:45:53Z,Eastern Time (US & Canada),manager@crunchdanvers.com,,20128,True,,20128,abc,moso_corporate,0,en,https://www.facebook.com/crunchdanvers,@CrunchDanvers,https://www.instagram.com/crunchdanvers,@CrunchDanvers,https://www.twitter.com/crunchgym/,@CrunchGym,False,a,False,False,unknown,10,Fitness Holdings
430,Lynn,base_club,lynn,https://d3gwr21bcravq3.cloudfront.net/store/club/map-bbef6ee40ca3c9b1ffb3-original.png,6713,6713 miles away,43 State Street,,Lynn,MA,01910,US,781.715.0202,manager@crunchlynn.com,open,2,42.46207,-70.95068,2021-07-19T16:15:57Z,Eastern Time (US & Canada),info@crunchlynn.com,,20056,True,,20056,abc,moso_corporate,0,en,https://www.facebook.com/CrunchLynn,CrunchLynn,https://www.instagram.com/CrunchLynn,CrunchLynn,https://www.twitter.com/CrunchGym,CrunchGym,False,a,True,False,unknown,10,Fitness Holdings
436,Malden,base_club,malden,https://d3gwr21bcravq3.cloudfront.net/store/club/map-57ceb809ff1a9e649aa3-original.png,6717,6717 miles away,56 Broadway,,Malden,MA,02148,US,781.874.9904,manager@crunchmalden.com,open,2,42.42524,-71.042168,2021-08-31T19:50:50Z,Eastern Time (US & Canada),info@crunchmalden.com,,7688,True,,7688,abc,moso_corporate,0,en,https://www.facebook.com/CrunchMalden,CrunchMalden,https://www.instagram.com/CrunchMalden,CrunchMalden,https://www.twitter.com/CrunchGym,CrunchGym,False,a,True,False,unknown,10,Fitness Holdings
621,Allston,base_club,allston,https://d3gwr21bcravq3.cloudfront.net/store/club/map-00b1989c6dc5098c1f94-original.png,6724,6724 miles away,15 Gorham St,,Allston,MA,02134,US,617.731.4177,manager@crunchallston.com,open,2,42.34852,-71.13265,2024-09-03T18:38:22Z,Eastern Time (US & Canada),manager@crunchallston.com,,20308,True,,20308,abc,moso_corporate,0,en,https://facebook.com/crunchallston,@CrunchAllston,https://www.instagram.com/crunchallston/,@CrunchAllston,https://www.twitter.com/CrunchGym,@CrunchGym,False,a,False,False,unknown,10,Fitness Holdings
622,Dorchester,base_club,dorchester,https://d3gwr21bcravq3.cloudfront.net/store/club/map-32e65b7b00aa7a8aed47-original.png,6726,6726 miles away,540 Gallivan Blvd,,Boston,MA,02124,US,617.265.1733,manager@crunchdorchester.com,open,2,42.28304,-71.05504,2024-09-03T18:41:24Z,Eastern Time (US & Canada),manager@crunchdorchester.com,,20309,False,,20309,abc,moso_corporate,0,en,https://facebook.com/crunchdorchester,@CrunchDorchester,https://www.instagram.com/crunchdorchester/,@CrunchDorchester,https://www.twitter.com/CrunchGym,@CrunchGym,False,a,False,False,unknown,10,Fitness Holdings
247,Fitchburg,base_club,fitchburg,https://d3gwr21bcravq3.cloudfront.net/store/club/map-51c5ce8fa1348593d6fb-original.png,6727,6727 miles away,130 Water Street,,Fitchburg,MA,01420,US,978.345.0000,manager@crunchfitchburg.com,open,2,42.580081,-71.793183,2018-01-02T14:40:05Z,Eastern Time (US & Canada),info@crunchfitchburg.com,,7603,True,979.0,7603,abc,moso_corporate,0,en,http://www.Facebook.com/CrunchFitchburg,CrunchFitchburg,https://www.instagram.com/crunchfitchburg/,CrunchFitchburg,https://twitter.com/CrunchGym,@CrunchGym,False,a,True,False,unknown,76,"Live Fit NE 1, LLC"
116,Roslindale,base_club,roslindale,https://d3gwr21bcravq3.cloudfront.net/store/club/map-761bb334f7007e8f0572-original.png,6728,6728 miles away,950 American Legion Hwy,,Roslindale,MA,02131,US,617.327.1212,manager@crunchroslindale.com,open,2,42.2757,-71.11441,2016-12-23T18:44:56Z,Eastern Time (US & Canada),info@crunchroslindale.com,,7630,True,436.0,7630,abc,moso_corporate,0,en,http://www.Facebook.com/CrunchRoslindale,CrunchRoslindale,https://www.instagram.com/crunchroslindale/?hl=en,@CrunchRoslindale,https://twitter.com/CrunchGym,@CrunchGym,False,a,True,False,unknown,10,Fitness Holdings
